trajectory_key,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,ego_progress,time_to_collision_within_bound,comfort,score,error
c849fb5493be5a70,True,1.0,1.0,1.0,0.40348493292885074,0.0,1.0,0.33478538872035446,
b523d101fb0958c3,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
c3c375ac03435ee2,True,1.0,1.0,1.0,0.23039821129805274,1.0,1.0,0.6793325880408553,
4a4c046eff125fca,True,1.0,1.0,1.0,0.5374781207644855,1.0,1.0,0.8072825503185356,
9587d6ea0a8e518f,True,1.0,1.0,1.0,0.34602876257776016,1.0,1.0,0.7275119844074002,
e5e21bbf8d665374,True,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
faf8f696fd8a5298,True,1.0,1.0,1.0,0.5504649079035473,1.0,1.0,0.8126937116264781,
e982719caf425a10,True,1.0,1.0,1.0,0.27233144095104406,1.0,0.0,0.5301381003962683,
09b2f0291de85466,True,1.0,1.0,1.0,0.3910360591939529,1.0,0.0,0.5795983579974804,
8cfce2bdf24a5260,True,1.0,1.0,1.0,1.0,0.0,1.0,0.5833333333333334,
1661065c080c51d8,True,1.0,1.0,1.0,0.013392032142734756,1.0,1.0,0.5889133467261395,
d49c7581099d56be,True,1.0,1.0,1.0,0.8845546469434158,0.0,1.0,0.53523110289309,
a117c55be29c5412,True,1.0,1.0,1.0,0.384364797428185,1.0,1.0,0.7434853322617437,
2bf7a51839cb59eb,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
da0aac1f6c225eca,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334,
66368e570f415f55,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
70d9aa5a289157c2,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
371a6b4bc47d5d87,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
a5725e330a565f84,True,1.0,1.0,1.0,0.5853058732994421,1.0,1.0,0.8272107805414342,
b74b5977823b527a,True,1.0,1.0,1.0,0.25615997187448775,1.0,1.0,0.6900666549477034,
e37f3f28d9bb5445,True,1.0,1.0,1.0,0.3948120436306962,1.0,0.0,0.5811716848461234,
4909b88b347c5764,True,1.0,1.0,1.0,0.4511571669296531,1.0,0.0,0.6046488195540222,
d8052747bb57544b,True,1.0,1.0,1.0,0.7366175285280319,1.0,1.0,0.8902573035533466,
3dac4631b32d5baa,True,1.0,1.0,1.0,0.2834985206785574,1.0,0.0,0.5347910502827323,
1d2ce89fe79f55bd,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
15822499ddf9515d,True,1.0,1.0,1.0,0.391559271398891,1.0,1.0,0.746483029749538,
a8f83a28e925555d,True,1.0,1.0,1.0,0.27033531510868625,1.0,0.0,0.529306381295286,
43861b94f4d959eb,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
cc9c17cee08d59ca,True,1.0,1.0,1.0,0.49757300125736553,1.0,1.0,0.790655417190569,
bf2eac0b47c55db7,True,1.0,1.0,1.0,0.5961452468661443,1.0,1.0,0.8317271861942267,
c1e612a123d059d7,True,1.0,0.0,1.0,0.0,0.0,1.0,0.0,
47f9e40a21f7510a,True,1.0,1.0,1.0,0.8341252938390007,1.0,1.0,0.9308855390995836,
71d723610abd5f16,True,1.0,1.0,1.0,0.6737574734138828,1.0,1.0,0.8640656139224512,
567469e556cf5e6b,True,1.0,1.0,1.0,0.3539553047417149,1.0,1.0,0.730814710309048,
8b413245a4055519,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
9a4e8cacd6095527,True,1.0,1.0,1.0,0.5504492931569532,1.0,1.0,0.8126872054820639,
315aedf84f9f59c3,True,1.0,1.0,1.0,1.0,0.0,1.0,0.5833333333333334,
0bb779c3344d5b1d,True,1.0,1.0,1.0,0.3563831701817731,1.0,1.0,0.7318263209090722,
b7d4918c77945775,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
165838dcee0152fe,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
b2c9c066dc43545b,True,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
a04f86a92daf50ba,True,1.0,1.0,1.0,0.09121077475755901,1.0,1.0,0.6213378228156495,
dd9646cfa6935fae,True,1.0,1.0,1.0,0.2622820947334519,1.0,0.0,0.5259508728056049,
594e39f9024a5835,True,1.0,1.0,1.0,0.23610105924355398,1.0,0.0,0.5150421080181475,
3fea25d764c355dc,True,1.0,1.0,1.0,0.5599711860681841,1.0,1.0,0.8166546608617433,
e450c08eafcf5b91,True,1.0,1.0,1.0,0.44383041658527345,1.0,1.0,0.7682626735771972,
a9af1e73c9575428,True,1.0,1.0,1.0,0.5830814391424974,1.0,1.0,0.8262839329760405,
9fcf3a5f4d495b70,True,1.0,0.0,1.0,0.0,0.0,1.0,0.0,
1f913e9b33f155c6,True,1.0,1.0,1.0,0.3551677236879417,1.0,1.0,0.7313198848699757,
ba8b30ba37d05ed6,True,1.0,1.0,1.0,0.35427643882589566,1.0,0.0,0.5642818495107899,
17aab91aa7585eb6,True,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
7f19b2fd14435b73,True,1.0,1.0,1.0,0.1722146925128811,1.0,1.0,0.6550894552137004,
fddb0bdd1d7f53e0,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
0372bb63e704555a,True,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
67628d15c5b45860,True,1.0,1.0,1.0,0.2260534902263008,1.0,1.0,0.677522287594292,
20eb3d1d711554a3,True,1.0,1.0,1.0,0.49370150891448916,1.0,1.0,0.7890422953810372,
df11795878cb5419,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
d639c104b63e568d,True,1.0,1.0,1.0,0.36987286138958825,1.0,1.0,0.737447025578995,
ead2f3a4f1ad58ac,True,1.0,1.0,1.0,0.36097887508612275,1.0,1.0,0.7337411979525511,
ebad44bb4ab65707,True,1.0,1.0,1.0,0.36563608170127415,1.0,1.0,0.7356817007088642,
95809cb5fc4a549f,True,1.0,1.0,1.0,0.5241516436998013,1.0,1.0,0.8017298515415838,
6fdea0636809523e,True,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
f1041299a1a059f5,True,1.0,1.0,1.0,0.44711353193674486,1.0,1.0,0.769630638306977,
02af0d9081855c54,True,1.0,1.0,1.0,0.4085499852138569,1.0,1.0,0.753562493839107,
9095dbedac905e58,True,1.0,1.0,1.0,0.45342617923408524,1.0,1.0,0.7722609080142022,
a25c5a2632f952d7,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
1671f2a335fb5968,True,1.0,1.0,1.0,0.41420850609640464,1.0,1.0,0.7559202108735019,
aaa52295ba6e5daf,True,1.0,1.0,1.0,0.24120934835693827,1.0,1.0,0.6838372284820576,
50613cf56a8d5a38,True,1.0,1.0,1.0,0.0,0.0,1.0,0.16666666666666666,
d79128ba24155262,True,1.0,1.0,1.0,0.4928172558933714,1.0,1.0,0.7886738566222381,
f841083805af5242,True,1.0,1.0,1.0,0.4538214938065413,1.0,1.0,0.7724256224193922,
307b5c7a59cd57b2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5496f69033515dd4,True,1.0,1.0,1.0,0.21991792026855317,1.0,1.0,0.6749658001118971,
9fe2a67d11ff55f2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5c9f3b6bfc615ad4,True,1.0,1.0,1.0,0.39202595111898486,1.0,1.0,0.7466774796329103,
19cd103b5ae1538e,True,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
90e143b64aa15442,True,1.0,1.0,1.0,0.5397885395599025,1.0,1.0,0.8082452248166261,
5b5be980b0815e76,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
e06452718ec757c6,True,1.0,1.0,1.0,0.2372239949965561,1.0,1.0,0.6821766645818984,
23502259fe7450ea,True,1.0,1.0,1.0,0.358882225271265,1.0,1.0,0.732867593863027,
8a67627289225991,True,1.0,1.0,1.0,0.0,1.0,0.0,0.4166666666666667,
07317a5c43a05eef,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
1611f4d5c0395de4,True,1.0,1.0,1.0,0.38449297430940704,1.0,0.0,0.5768720726289196,
6aeafad06d0055ba,True,1.0,1.0,1.0,0.4539062205481494,1.0,1.0,0.7724609252283955,
6afb5356f35b547c,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
a4004f6529cf511e,True,1.0,1.0,1.0,0.44835572279097813,1.0,1.0,0.7701482178295742,
49f8fc6be75f56fc,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
b1e0acd51fbf5895,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
465d43bf893d5e66,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
1e5912e7fc4f5451,True,1.0,1.0,1.0,0.3837657631430545,1.0,1.0,0.7432357346429393,
03ed102b769458cd,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
d3999ba1a6b9527a,True,1.0,1.0,1.0,0.3897027200889477,1.0,1.0,0.7457094667037282,
8847def0336a54a1,True,1.0,1.0,1.0,0.1948576032752602,1.0,1.0,0.6645240013646917,
d4f46232d69d5d16,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
d113b39be843564f,True,1.0,1.0,1.0,0.3939677162432124,1.0,1.0,0.7474865484346719,
bdae4b23337b5834,True,1.0,1.0,1.0,0.34619941896457057,1.0,0.0,0.560916424568571,
341d69eed08a520b,True,1.0,1.0,1.0,0.3011289019167638,1.0,0.0,0.5421370424653182,
1bc034e245e85197,True,1.0,1.0,1.0,0.43990901418807454,1.0,0.0,0.599962089245031,
